Date,NB_TENSIONS,SEL,HAG,MUL,WIS,ALK,HUS,GEB,TAN,3FR,COL,
Total,,37,2,6,4,2,4,3,1,1,1,0
2016-01-01,0,,,,,,,,,,,
2016-01-02,0,,,,,,,,,,,
2016-01-03,0,,,,,,,,,,,
2016-01-04,1,1,,,,,,,,,,
2016-01-05,3,1,1,1,,,,,,,,
2016-01-06,1,1,1,1,,,,,,,,
2016-01-07,2,,0,,1,1,,,,,,
2016-01-08,0,,,,,,,,,,,
2016-01-09,0,,,,,,,,,,,
2016-01-10,1,1,,,,,,,,,,
2016-01-11,1,1,,,,,1,,,,,
2016-01-12,2,1,,,,,1,,,,,
2016-01-13,3,1,,,,,1,1,,,,
2016-01-14,2,1,,,,,1,,,,,
2016-01-15,2,1,,,,,0,1,,,,
2016-01-16,0,,,,,,,,,,,
2016-01-17,1,,,,,,,,,,,
2016-01-18,3,1,,,,,,1,1,,,
2016-01-19,2,1,,,,,,,,,,
2016-01-20,1,1,,,,,,,,,,
2016-01-21,2,1,,,,,,,,1,,
2016-01-22,1,1,,,,,,,,,,
2016-01-23,0,,,,,,,,,,,
2016-01-24,1,,,,,,,,,,,
2016-01-25,1,1,,,,,,,,,,
2016-01-26,2,1,,1,,,,,,,,
2016-01-27,3,1,,,,1,,,,,,
2016-01-28,3,1,,1,,,,,,,1,
2016-01-29,2,1,,1,,,,,,,0,
2016-01-30,0,,,,,,,,,,,
2016-01-31,3,,,,,,,,,,,
2016-02-01,2,1,,1,,,,,,,,
2016-02-02,2,1,,0,1,,,,,,,
2016-02-03,2,1,,,1,,,,,,,
2016-02-04,1,1,,,,,,,,,,
2016-02-05,1,1,,,,,,,,,,
2016-02-06,0,1,,,,,,,,,,
2016-02-07,1,1,,,,,,,,,,
2016-02-08,1,1,,,,,,,,,,
2016-02-09,2,1,,,,,,,,,,
2016-02-10,1,1,,,,,,,,,,
2016-02-11,0,1,,,,,,,,,,
2016-02-12,1,1,,,1,,,,,,,
2016-02-13,1,1,,,,,,,,,,
2016-02-14,1,1,,,,,,,,,,
2016-02-15,1,1,,,,,,,,,,
2016-02-16,1,1,,,,,,,,,,
2016-02-17,1,1,,,,,,,,,,
2016-02-18,1,1,,,,,,,,,,
2016-02-19,0,0,,,,,,,,,,
2016-02-20,0,0,,,,,,,,,,
2016-02-21,0,0,,,,,,,,,,
2016-02-22,0,0,,,,,,,,,,
2016-02-23,0,0,,,,,,,,,,
2016-02-24,0,0,,,,,,,,,,
2016-02-25,0,0,,,,,,,,,,
2016-02-26,2,,,,,,,,,,,
2016-02-27,1,,,,,,,,,,,
2016-02-28,2,,,,,,,,,,,
2016-02-29,1,,,,,,,,,,,
2016-03-01,1,,,,,,,,,,,
2016-03-02,1,,,,,,,,,,,
2016-03-03,0,,,,,,,,,,,
2016-03-04,0,,,,,,,,,,,
2016-03-05,0,,,,,,,,,,,
2016-03-06,1,,,,,,,,,,,
2016-03-07,1,,,,,,,,,,,
2016-03-08,1,,,,,,,,,,,
2016-03-09,0,,,,,,,,,,,
2016-03-10,0,,,,,,,,,,,
2016-03-11,1,,,,,,,,,,,
2016-03-12,2,,,,,,,,,,,
2016-03-13,1,,,,,,,,,,,
2016-03-14,2,,,,,,,,,,,
2016-03-15,1,,,,,,,,,,,
2016-03-16,1,,,,,,,,,,,
2016-03-17,0,,,,,,,,,,,
2016-03-18,0,,,,,,,,,,,
2016-03-19,0,,,,,,,,,,,
2016-03-20,1,,,,,,,,,,,
2016-03-21,1,,,,,,,,,,,
2016-03-22,1,,,,,,,,,,,
2016-03-23,0,,,,,,,,,,,
2016-03-24,0,,,,,,,,,,,
2016-03-25,1,,,,,,,,,,,
2016-03-26,0,,,,,,,,,,,
2016-03-27,1,,,,,,,,,,,
2016-03-28,2,,,,,,,,,,,
